stt,post_id,caption,topic,reason
1,"7,23E+33","Du l?ch Hà Giang - Cu?c s?ng ? B?n Phùng t?p 3. Khoai phát hi?n ra m?t ?i?u khi ? l?i nhà Khánh vào bu?i t?i... Nhà em ch?a có ?i?n, nên vi?c th?p sáng ch? nh? vào m?y c?c pin và chi?c bóng ?èn l? m? gi?a nhà. ??ng suy ng?m h?i lâu, nhóm Khoai quy?t ??nh h?n em Khánh và chú Minh cha c?a Khánh ?i cùng ra th? tr?n, ?? làm m?t ?i?u ??c bi?t. #KhoaiLangThang #LearnOnTikTok #dulich #tiktoktravel #hagiang #VietNamToiYeu #mientay #travel",travel_tourism,du l?ch #hagiang
2,"7,23E+33","Du l?ch Hà Giang - Cu?c s?ng ? B?n Phùng t?p 1. M?t l?i h?a quay tr? l?i, nh?ng h?n 4 n?m sau m?i th?c hi?n ???c. Khoai quy?t tâm v? l?i B?n Phùng và h?i cho b?ng ???c nhà c?a Khánh n?m x?a. Cu?i tu?n ng?i nh? m?y chuy?n ?i, nên quy?t ??nh ??ng chu?i clip B?n Phùng lên cho bà con cô bác coi chung. #KhoaiLangThang #LearnOnTikTok #dulich #tiktoktravel #hagiang #VietNamToiYeu #travel #mientay",travel_tourism,#dulich #travel
3,"7,25E+33",M?t bài hát mà Khoai r?t thích c?a Th?ng. Tr??c Khi Em T?n T?i. Và cám ?n b?n Vi?t Anh và HuyBQ vì b?n piano này n?a. M?t bu?i chi?u m?a nghe bài này xong bu?n ngang nên ng?i hát. #KhoaiLangThang #TruocKhiEmTonTai #cover,music_dance,hát cover
4,7.57E+18,"Là m?t ngày n?ng ??p, Khoai l?i lang thang trên chi?c nhà di ??ng c?a mình. ?? m?i ng??i ?ây là ?âu ? Châu Âu? #KhoaiLangThang",travel_tourism,châu Âu du l?ch
5,7.55E+18,"?n ??: Bí ?n ngôi làng tâm linh không ???c g?i tên mà ch? ???c hát! V?y, hai l?n hát tên dài và ph?c t?p nh? v?y có gi?ng nhau, có d? hát sai hay không? #KhoaiLangThang #AnDo",travel_tourism,?n ?? làng
6,7.55E+18,"Tâm s? chút v? clip b?a ?n ?n ?? v?i Khoai nha cô bác mình ?i. Mình ráng coi ??n cu?i clip nha, b?a clip kia Khoai ??ng dài quá nên m?i ng??i coi không n?i, c?ng v?i có nhi?u th?c m?c t? m?i ng??i nên nay m?i có thêm clip tâm s? này. #KhoaiLangThang #AnDo",lifestyle_daily,tâm s?
7,7.55E+18,"Ngôi làng k? bí ? ?n ?? n?m gi? m?t bí ?n v? nh?ng âm thanh vang kh?p r?ng sâu, n?i g?n nh? b? b? quên gi?a th? gi?i hi?n ??i ngoài kia. M?i mình ?i du l?ch ?n ?? cùng Khoai Lang Thang nha! #KhoaiLangThang #AnDo",travel_tourism,du l?ch ?n ??
8,7.55E+18,"Ng??i ?n ?? n?u c?m ?ãi ng??i Vi?t Nam. M?t b?a ?n thân tình trong chuy?n du l?ch ?n ?? ? Meghalaya c?a Khoai Lang Thang, ??n s? nh?ng chân thành! #KhoaiLangThang #AnDo",food_drink,n?u c?m
9,7.55E+18,"Ch?c Khoai l?i ?i m?t chuy?n hành trình sông n??c thi?t dài cho ?? ghi?n quá! Tr??c khi nh?ng hình ?nh này không còn n?a. Sao mà mình ghi?n Mi?n Tây, ghi?n ???c ?i mi?n quê Vi?t Nam mình quá s?c. K? s?: Cu?c s?ng ghe hàng P2 #KhoaiLangThang",travel_tourism,Mi?n Tây
10,7.54E+18,K? s?: Cu?c s?ng ghe hàng Mi?n Tây #1. Cu?c hành trình ??c bi?t ?i t? ??ng Tháp v? v?i Cà Mau nhi?u ngày ?êm ?ã cho Khoai m?t góc nhìn r?t khác v? Mi?n Tây sông n??c. #khoailangthang #mientay,travel_tourism,ghe hàng
11,7.54E+18,"Du l?ch ?n ?? ch? này, l? v?i khác v?i m?y ch? còn l?i ? ?n ?? l?m! M?i mình ?i ch?i v?i Khoai nha #KhoaiLangThang",travel_tourism,du l?ch ?n ??
